address,transaction_count,avg_gas_limit,max_gas_limit,total_excess_gas,additional_cost_eth,splits_required
0xcdfa7100aca1929f018b8478aa92e75b76a57c15,133,19273684.210526317,25600000.0,332030272.0,1.0447704306315788e-05,2.0
0xc8fec39aa6e80575bafe7e7b9a8b2e15762a7175,132,19978409.09090909,35400000.0,422557488.0,4.4305567830522725e-05,2.0
0x5a99bc8bc37e49240110ee97dae2d8ac04fe03bc,132,19529443.15909091,26365724.0,363293985.0,1.2835457563090908e-05,2.0
0x0ee2fea11fe10c73555d72aa01b731b40296942c,132,20681818.181818184,35000000.0,515407488.0,3.922414907965909e-05,2.0
0xcbf5a1dc17fda9f416fbb4ba726fd36f28fb4d87,132,26318000.0,26803000.0,1259383488.0,7.614090909090909e-06,2.0
0x6791a468f9bd4736354083f94969cbf33358c173,130,17705739.915384617,25056969.0,120708109.0,8.459386044738462e-06,2.0
0xc1356d983d6e675c3aa75fec74dcf9cb1f2c6983,129,32362947.76744186,33726993.0,2010559398.0,1.1500229087558141e-05,2.0
0xfc42408a613b99ac4e96197696217e56b93ebf11,128,22746510.03125,32838534.0,764069636.0,1.4186957969460937e-05,2.0
0x11c87eb011a30513d5cd1b0a22ec4d3983b96d60,128,26832359.375,27513000.0,1287058352.0,1.1391328748625e-05,2.0
0x6d8c9207a224d2f7de4c6e94073addd78cda79d1,128,23086538.6875,25600000.0,807593304.0,1.2166712778445313e-05,2.0
0x2bcb68a35d2d255e7261646ecb4f48a1a6a61f3f,126,20769444.444444444,24000000.0,503020784.0,0.00012984609716183335,2.0
0xbeeeaa9554ef19651420a3fcaa8fd723f31429a6,125,33306644.656,33549149.0,2066178582.0,1.5166764798024002e-05,2.0
0x6274746cc900d832b05dcf5f774d8c0355dbc6ba,125,26922633.416,33407936.0,1268177177.0,9.39778075824e-06,2.0
0xeb7742c9ad0cf9e2e6b4a7fda44719193376a547,124,20000000.0,20000000.0,399625216.0,8.502753143460484e-05,2.0
0xba3c38fef28c2d629c4e3660a02e602743222a2f,123,26263336.731707316,28647418.0,1166792850.0,1.1178537112536587e-05,2.0
0x0415a25b367106c84ba0c7868a31e8f3048acea1,122,26427672.13114754,27033000.0,1177355648.0,1.1264450020967213e-05,2.0
0x765043aedd52e4992e85da536349d38e3ad78c1f,120,18000000.0,18000000.0,146734080.0,1.22773e-05,2.0
0xbcd406c566a18c2f3f18dc5aa51238d595e3d53e,119,26901319.327731095,27463000.0,1204768296.0,1.2316857654000001e-05,2.0
0x17c0e8d63d006e79bf1010b65e41b2cde93f4f0e,119,26037051.168067228,31513885.0,1101920385.0,1.0440599480647059e-05,2.0
0x3413caebfa805e7693c39a561aa5ee41bb76e632,119,20000000.0,20000000.0,383511296.0,7.506063596294118e-06,2.0
0x22a526495cdc35f5c05ad8b852a0723408b873c9,118,25252428.033898305,26060745.0,1000075020.0,1.4284449152542373e-05,2.0
0xc7318d85c4cf678b00a12babfe79b00ff5470f77,117,33291454.64102564,33543036.0,1932165921.0,1.0270282109051284e-05,2.0
0x46345207af256726d1d2a4a8bcfe70c2d446a147,116,28728987.620689657,34677261.0,1386405508.0,1.1506790085543103e-05,2.0
0x1605b5f729584e3459212f454da550fd3f4c7ccc,114,33118978.45614035,33408197.0,1862960920.0,9.65981369555263e-06,2.0
0x87f708368b7b5ef2ca2fa2a93d842cdcdfeb8f81,113,19508849.557522126,20000000.0,308674592.0,1.5528667656265487e-05,2.0
0x0a94f91516c2d43afc8daf9da1171533c7ec1111,112,30000000.0,30000000.0,1480951808.0,7.5203842366875e-05,2.0
0x933e02521f293092c2e3706a37b34b440572e4d6,111,32316056.27027027,33509148.0,1724811270.0,9.590556637540541e-06,2.0
0x2416461b166840e534f06625eaf4c92f3eff04d6,110,26480774.545454547,32844891.0,1067391440.0,9.767329126990908e-06,2.0
0xa9be967ab8f5e849c8459f979ea916ff256227d7,110,19500000.0,19500000.0,299506240.0,1.5510341186836364e-05,2.0
0x90ff1f276ee15579f93b966d83f14b0640e49a69,110,19500000.0,19500000.0,299506240.0,1.554932501830909e-05,2.0
0x29d9ea09d92210c67cb65874168d6b27293ea1b2,108,21429629.62962963,25600000.0,502460672.0,2.188676458461111e-05,2.0
0xbaf9a9b64a19de756f777c0a099fee804f6a265f,108,19992592.592592593,20000000.0,347260672.0,1.2409468557111111e-05,2.0
0xd6863a82f3fd18f5583f5001f5f35737fd40cb2b,108,19527777.777777776,20000000.0,297060672.0,1.7525322591583335e-05,2.0
0x43631e3e844e3f9c5c2260a77f9a8291dd5f9336,108,28074810.962962963,33224334.0,1220140256.0,9.162717412722222e-06,2.0
0xd4abcbef17e002266a15ce9b7a678c4030ef4b0f,108,30000000.0,30000000.0,1428060672.0,8.034636375208332e-05,2.0
0x3293c8b5ff0687b4b4303bb631ba0ccb0bd203ce,107,23773834.897196263,24322566.0,748638222.0,8.78696323791869e-05,2.0
0xe50b3b2c88f441e7c7ca786c268cfb1780dfdfb9,107,26347779.607476637,28647418.0,1024050306.0,1.1102668260560749e-05,2.0
0xb00b3f7b9f43e9af0b7d1c50baddfc5eff72ccd7,106,22473690.63207547,34200000.0,603826311.0,7.976776841943397e-05,2.0
0x9e8a914167ddba8a17a5fca46b28285db556ff9f,106,18356877.63207547,23240873.0,167444133.0,3.184611121788679e-05,2.0
0x387fd01eb7b7fd5b99a5f5b8419148288d3898a4,106,20666686.443396226,30218725.0,412283867.0,8.051991349301887e-06,2.0
0x41e4e5933e9406c95840dd795035891819e0adf2,105,17661491.971428573,17661497.0,92848977.0,8.11e-06,2.0
0x7af33eec9c82270440493d034ad4abfaadca8270,104,25758096.153846152,26243000.0,934011536.0,1.8024201625903845e-05,2.0
0x566e58ac0f2c4bcaf6de63760c56cc3f825c48f5,103,27937435.96116505,34199967.0,1149502656.0,9.722374139201942e-05,2.0
0x5905c42d56bf5c5a2db3af93a3af2e3ff673bfd8,103,26628648.708737865,33446370.0,1014697569.0,1.0287139598766991e-05,2.0
0x751f6716f655323ec276351b619f1a24dc777972,103,25756462.155339807,32838534.0,924862354.0,9.283825356291262e-06,2.0
0xb2ec873ea23e2e5c5ce3939f55dc870e56c9ffd9,102,20000000.0,20000000.0,328723968.0,1.2747823529411765e-05,2.0
0x33172af007be3be0999c5921f8c5d01e32f2549f,102,30000000.0,30000000.0,1348723968.0,5.373529411764705e-05,2.0
0x7ab41d756cdc29555c3c65105e57810d0dca1424,102,19504901.960784312,20000000.0,278223968.0,1.2761114448147059e-05,2.0
0xc4450a1b38fa2d1cfb82629105eaeb5286579d4d,101,20000000.0,20000000.0,325501184.0,1.9858459644564355e-05,2.0
0x005110f17139e63b2d624e4c040c861af4c12519,100,19170000.0,19200000.0,239278400.0,1.053902205531e-05,2.0
0x4a468b7eceff2182c59eefd65254d10bc034d132,99,26555363.636363637,27173000.0,968036616.0,1.604352044951515e-05,2.0
0x8bc590bb370bea80ecc8ce1062bea53b0c0abb35,99,18000000.0,18000000.0,121055616.0,1.185757575757576e-05,2.0
0x7de173317cccd6a918eb9d77d12e924d635f3658,99,18742424.242424242,27600000.0,194555616.0,8.501236686515151e-06,2.0
0x2dc1003c55aa3a1b23955bc8575628e4f7bf5a65,98,25883469.387755103,26743000.0,892412832.0,1.0456506281785714e-05,2.0
0x66ac646bffd2eeb1ae2a757c70651fceab6ea6cd,98,19515306.12244898,20000000.0,268332832.0,9.392173987285715e-06,2.0
0xe37dd6f541ff2f3b541b47a97899e12205d27f1c,98,20023633.0,20023633.0,318148866.0,8.766337924500001e-06,2.0
0xf073a21f0d68adacfff34d5b8df04550c944e348,97,31648270.73195876,35117553.0,1442492309.0,3.530615551796908e-05,2.0
0x732d136994f4086dc9d9ddea775f3120d73b4e12,97,26067412.37113402,26793000.0,901149048.0,8.951194351515465e-06,2.0
0x2b8294de3cd03578f08acf9072d4a8d625d749de,95,29315639.231578946,33143502.0,1191150207.0,8.575160729873684e-06,2.0
