to_address,transaction_count,avg_gas_limit,max_gas_limit
0xf01da459f4550dad31f19e4cfe2ed6be93219a66,5,25000000.0,25000000.0
0x06450dee7fd2fb8e39061434babcfc05599a6fb8,5,34120002.8,34200000.0
0xd35a289c1d5f6f6a604d6026111109694e51ba25,5,23526830.2,26286170.0
0x5a0aae59d09fccbddb6c6cceb07b7279367c3d2a,5,28842483.6,34212418.0
0xc7f61e837d823f695a2c8305001f94f224622948,5,30000000.0,30000000.0
0x8923c548b18e0b34b4c2c102734c400bcb7e2472,5,30000000.0,30000000.0
0x130282ad40307c89c79e49447f7347fb9f1d50bd,5,25358906.8,26686673.0
0xcea8aaa918bc6c19e5b77841ebd77ff3188385af,5,24795164.2,35964845.0
0x4095f064b8d3c3548a3bebfd0bbfd04750e30077,5,20000000.0,20000000.0
0xc2819dc788505aac350142a7a707bf9d03e3bd03,5,24000000.0,25000000.0
0xceca2e90e3bd817bd6174fe0520717138dc1dc47,5,28311724.2,28311891.0
0x000050eeaaca255253e0addbb7b2353b4e4b0000,5,20389516.0,20605466.0
0x6898e4394abfd96a3d8044dc2f0b5d38dd03ef05,5,26919028.2,30000000.0
0x18dfe3743ee540b3417acba83cc92d1de2120a1a,5,20000000.0,20000000.0
0x0000000071727de22e5e9d8baf0edac6f37da032,5,28252588.4,36000000.0
0x35878c2cff38cc4032e85283183428170ba618a2,5,20000000.0,20000000.0
0x90334b621dc068d54e09c9f5006a67052dfb7d07,5,18637614.4,18638200.0
0xb6c0189080a6441caf056b856dd4d795b909c460,4,22165399.5,22167498.0
0xb244b3574a5627849fca2057e3854340def63071,4,21991006.0,22925523.0
0x08e014b9f7d47a5921dc664bb3f8a35e4a019412,4,25035182.0,25858132.0
0x1e68238ce926dec62b3fbc99ab06eb1d85ce0270,4,19658127.75,22518316.0
0x1be5066d56336d1d0a567aad9af5accbcef75bc3,4,18097219.999999996,18101754.0
0x50b8f49f4b2e80e09ce8015c4e7a9c277738fd3d,4,19599999.999999996,22200000.0
0xa5a1bd3d6fe061a8bb775912517be4c618996b92,4,28590448.5,28667064.0
0x9522fff064bcb2f319c330a72ee57195775168bc,4,18913896.5,20169470.0
0xce6644425161d73e8865804673bdd90b15314712,4,20036712.75,22167818.0
0x8ca4cb4b261d4e26fafd4bd40427a2b2dc93413c,4,20000000.0,20000000.0
0xf86082f6bf8bd9ffc02755f65fc3d7ec7d1a0ffc,4,19514783.75,19629222.0
0x493e75825b862c355a4263c9c1cb6f650539b328,4,28157342.25,29314558.0
0xd375e9d0cbc12813683ffb0ab9bf85fbf83aceaf,4,28687324.0,28806343.0
0xef2d3fcf79927ce06237dcc80ddd75f3ef40151e,4,20000000.0,20000000.0
